Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Exception
2017/02/17, 23:34:28, 39.014805, -123.065720, 609.46,  1944.00, 104, 0, 5.30, 
2017/02/17, 23:34:34, 39.014797, -123.065735, 606.13,  1728.00, 129, 0, 1.57, 
2017/02/17, 23:34:38, 39.014824, -123.065735, 608.32,  0.00, 87, 0, 3.00, 
2017/02/17, 23:34:43, 39.014824, -123.065735, 608.32,  0.00, 87, 0, 0.00, 
2017/02/17, 23:34:48, 39.014851, -123.065712, 612.00,  1692.00, 87, 0, 3.60, 
2017/02/17, 23:34:54, 39.014870, -123.065735, 611.27,  0.00, 87, 0, 2.90, 
2017/02/17, 23:34:58, 39.014870, -123.065735, 611.27,  0.00, 87, 0, 0.00, 
2017/02/17, 23:35:03, 39.014824, -123.065681, 608.89,  1584.00, 87, 0, 6.92, 
2017/02/17, 23:35:08, 39.014809, -123.065643, 608.66,  432.00, 87, 0, 3.68, 1
2017/02/17, 23:35:13, 39.014805, -123.065666, 608.46,  2304.00, 334, 0, 2.04, 
2017/02/17, 23:35:18, 39.014847, -123.065697, 603.85,  0.00, 334, 0, 5.38, 
2017/02/17, 23:35:23, 39.014805, -123.065681, 601.75,  756.00, 334, 0, 4.87, 
2017/02/17, 23:35:28, 39.014801, -123.065681, 602.85,  0.00, 334, 0, 0.44, 
2017/02/17, 23:35:33, 39.014748, -123.065628, 602.27,  2196.00, 107, 0, 7.46, 
2017/02/17, 23:35:38, 39.014725, -123.065628, 603.07,  576.00, 107, 0, 2.56, 
2017/02/17, 23:35:44, 39.014740, -123.065651, 602.82,  0.00, 107, 0, 2.59, 
2017/02/17, 23:35:48, 39.014816, -123.065704, 603.65,  612.00, 107, 0, 9.61, 
2017/02/17, 23:35:54, 39.014809, -123.065712, 604.09,  1872.00, 107, 0, 1.04, 
2017/02/17, 23:35:58, 39.014782, -123.065674, 604.73,  1368.00, 41, 0, 4.45, 
2017/02/17, 23:36:04, 39.014793, -123.065674, 603.20,  0.00, 41, 0, 1.22, 
2017/02/17, 23:36:09, 39.014793, -123.065674, 603.20,  0.00, 41, 0, 0.00, 
2017/02/17, 23:36:14, 39.014793, -123.065674, 603.20,  0.00, 41, 0, 0.00, 
2017/02/17, 23:36:19, 39.014793, -123.065674, 603.20,  0.00, 41, 0, 0.00, 
2017/02/17, 23:36:23, 39.014908, -123.065712, 600.85,  3708.00, 349, 0, 13.20, 
2017/02/17, 23:36:30, 39.014877, -123.065720, 600.23,  0.00, 344, 0, 3.52, 
2017/02/17, 23:36:34, 39.014877, -123.065720, 600.23,  0.00, 344, 0, 0.00, 
2017/02/17, 23:36:39, 39.014877, -123.065720, 600.23,  0.00, 344, 0, 0.00, 
2017/02/17, 23:36:44, 39.014877, -123.065720, 600.23,  0.00, 344, 0, 0.00, 
2017/02/17, 23:36:49, 39.014885, -123.065689, 603.62,  0.00, 344, 0, 2.82, 
2017/02/17, 23:36:55, 39.014896, -123.065720, 604.53,  1908.00, 344, 0, 2.94, 
2017/02/17, 23:37:00, 39.014877, -123.065720, 599.93,  180.00, 344, 0, 2.11, 
2017/02/17, 23:37:05, 39.014889, -123.065720, 599.63,  0.00, 344, 0, 1.33, 
2017/02/17, 23:37:10, 39.014889, -123.065720, 599.63,  0.00, 344, 0, 0.00, 
2017/02/17, 23:37:15, 39.014889, -123.065720, 599.63,  0.00, 344, 0, 0.00, 
2017/02/17, 23:37:19, 39.014889, -123.065720, 599.63,  0.00, 344, 0, 0.00, 
2017/02/17, 23:37:24, 39.014889, -123.065720, 599.63,  0.00, 344, 0, 0.00, 
2017/02/17, 23:37:29, 39.014866, -123.065727, 600.18,  1872.00, 129, 0, 2.63, 
2017/02/17, 23:37:35, 39.014839, -123.065735, 600.43,  1836.00, 129, 0, 3.08, 
2017/02/17, 23:37:39, 39.014782, -123.065742, 597.59,  2520.00, 139, 0, 6.37, 
2017/02/17, 23:37:44, 39.014774, -123.065735, 597.50,  756.00, 145, 0, 1.08, 
2017/02/17, 23:37:49, 39.014786, -123.065727, 597.32,  2520.00, 140, 0, 1.50, 
2017/02/17, 23:37:54, 39.014782, -123.065727, 597.74,  432.00, 140, 0, 0.44, 
2017/02/17, 23:37:59, 39.014771, -123.065735, 597.84,  1188.00, 140, 0, 1.40, 
2017/02/17, 23:38:04, 39.014809, -123.065750, 597.53,  0.00, 140, 0, 4.42, 
2017/02/17, 23:38:09, 39.014809, -123.065750, 597.53,  0.00, 140, 0, 0.00, 
2017/02/17, 23:38:14, 39.014786, -123.065727, 598.10,  1512.00, 140, 0, 3.24, 
2017/02/17, 23:38:19, 39.014816, -123.065735, 599.05,  0.00, 140, 0, 3.41, 
2017/02/17, 23:38:25, 39.014843, -123.065742, 599.45,  2340.00, 44, 0, 3.06, 
2017/02/17, 23:38:30, 39.014847, -123.065758, 600.49,  0.00, 20, 0, 1.45, 
2017/02/17, 23:38:36, 39.014797, -123.065727, 600.96,  2664.00, 116, 0, 6.17, 
2017/02/17, 23:38:41, 39.014805, -123.065704, 600.22,  0.00, 119, 0, 2.18, 
2017/02/17, 23:38:46, 39.014805, -123.065704, 600.22,  0.00, 119, 0, 0.00, 
2017/02/17, 23:38:51, 39.014805, -123.065704, 600.22,  0.00, 119, 0, 0.00, 
2017/02/17, 23:38:56, 39.014805, -123.065704, 600.22,  0.00, 119, 0, 0.00, 
2017/02/17, 23:39:00, 39.014805, -123.065704, 600.22,  0.00, 119, 0, 0.00, 
